response;age;age_youngest_child;average#balance#feed#index;branch;debt_equity;gender;bad_payment;gold_card;pension_plan;household_debt_to_equity_ratio;income;marital;members_in_household;months_current_account;months_customer;call_center_contacts;loan_accounts;number_products;number_transactions;non_worker_percentage;white_collar_percentage;rfm_score
"NO";40;10;34;"Princeton";40;"F";0;0;0;60;16287.000000;"U";3;41;"48";1;0;1;1;7;32;11.563300
"NO";52;24;0;"Kingsville";52;"F";0;0;0;60;16287.000000;"U";2;12;"24";1;2;0;0;7;32;0.000000
"NO";37;3;0;"Ravensville";37;"F";0;0;0;60;16287.000000;"S";3;39;"48";1;0;0;0;7;32;0.000000
"NO";46;17;0;"Princeton";46;"F";0;0;0;41;16347.000000;"S";7;30;"36";4;1;0;0;11;46;0.000000
"NO";18;0;412;"Queensbury";18;"F";0;0;0;41;16347.000000;"S";7;19;"24";4;1;5;5;11;46;11.929300
"NO";42;13;107;"Ravensville";42;"F";0;0;0;57;16959.000000;"U";2;40;"48";2;2;3;2;9;33;9.570660
"NO";45;17;0;"Catburg";45;"F";0;0;0;68;17173.000000;"M";5;-1;"0";0;2;1;0;6;24;0.000000
"NO";29;2;0;"Catburg";29;"M";0;0;0;66;17202.000000;"U";6;26;"36";0;1;0;0;7;26;0.000000
"NO";34;8;0;"Queensbury";34;"F";0;0;0;66;17202.000000;"M";6;-7;"0";0;0;0;0;7;26;0.000000
"NO";67;36;138;"Queensbury";67;"M";0;0;0;52;17416.000000;"S";2;37;"48";3;0;4;2;13;34;8.957320
"NO";29;0;0;"Queensbury";29;"F";0;0;0;52;17570.000000;"S";5;22;"24";3;0;0;0;12;35;0.000000
"NO";41;13;80;"Ravensville";41;"M";0;0;0;61;17790.000000;"M";7;27;"36";1;1;3;2;6;31;13.440700
"NO";38;11;0;"Princeton";38;"M";0;0;0;61;17790.000000;"S";7;6;"12";1;0;0;0;6;31;0.000000
"NO";32;7;0;"Princeton";32;"F";0;0;0;61;17790.000000;"S";7;-3;"0";1;0;1;0;6;31;0.000000
"NO";41;9;384;"Princeton";41;"M";0;0;0;61;17790.000000;"U";7;10;"12";1;0;4;2;6;31;9.458000
"NO";43;14;0;"Ravensville";43;"F";0;0;0;61;17790.000000;"S";7;6;"12";1;0;0;0;6;31;0.000000
"NO";28;0;0;"Queensbury";28;"M";0;0;0;61;17790.000000;"S";7;13;"24";1;1;0;0;6;31;0.000000
"NO";55;26;0;"Foxton";55;"F";0;0;0;61;17790.000000;"S";6;7;"12";1;1;0;0;6;31;0.000000
"NO";34;4;0;"Foxton";34;"F";0;0;0;61;17790.000000;"S";7;18;"24";1;1;0;0;6;31;0.000000
"NO";47;15;0;"Ravensville";47;"F";0;0;0;61;17790.000000;"S";7;13;"24";1;0;0;0;6;31;0.000000
"NO";50;24;335;"Foxton";50;"M";0;0;0;61;17790.000000;"S";6;27;"36";1;0;1;1;6;31;9.199000
"NO";24;0;139;"Catburg";24;"F";0;1;0;54;17751.000000;"S";2;40;"48";2;4;3;2;6;39;9.161330
"NO";34;5;208;"Foxton";34;"M";0;0;0;54;17751.000000;"U";2;6;"12";2;0;3;1;6;39;7.589000
"NO";50;21;180;"Catburg";50;"M";0;0;0;51;17774.000000;"S";3;21;"24";3;4;4;3;5;43;10.326600
"NO";45;18;288;"Princeton";45;"F";0;0;0;51;17774.000000;"U";4;5;"12";3;0;4;2;5;43;8.554670
"NO";50;19;140;"Ravensville";50;"F";0;0;0;51;17774.000000;"M";3;5;"12";3;1;3;2;5;43;8.461330
"NO";37;13;384;"Catburg";37;"M";0;0;0;51;17774.000000;"U";4;10;"12";3;1;4;1;5;43;8.982330
"SI";46;20;841;"Queensbury";46;"M";0;0;0;51;17774.000000;"U";3;36;"48";3;1;4;3;5;43;10.257000
"NO";40;15;406;"Ravensville";40;"F";0;0;0;54;51938.000000;"M";7;10;"12";2;1;5;9;11;34;15.672100
"NO";27;0;0;"Ravensville";27;"M";0;0;0;58;51881.000000;"S";3;19;"24";1;0;0;0;13;27;0.000000
"NO";55;24;0;"Kingsville";55;"F";0;0;0;60;51893.000000;"S";1;-2;"0";1;3;2;0;5;33;0.000000
"NO";43;13;131;"Kingsville";43;"M";0;0;0;59;51862.000000;"S";7;17;"24";2;1;3;2;8;32;11.251300
"NO";43;12;356;"Kingsville";43;"M";0;0;0;50;51929.000000;"M";6;8;"12";3;2;1;1;15;34;11.815700
"SI";41;10;405;"Queensbury";41;"M";0;0;0;57;51884.000000;"M";5;28;"36";2;2;2;2;13;29;8.768000
"NO";44;14;0;"Catburg";44;"M";0;0;0;39;51925.000000;"S";6;-6;"0";5;0;0;0;20;39;0.000000
"NO";47;17;0;"Princeton";47;"F";0;0;0;47;51932.000000;"S";2;22;"24";4;1;0;0;13;39;0.000000
"NO";44;15;0;"Catburg";44;"F";0;0;0;41;51907.000000;"M";6;10;"12";5;1;0;0;14;44;0.000000
"NO";60;28;656;"Princeton";60;"M";0;0;0;52;51854.000000;"U";4;20;"24";2;0;1;6;16;31;12.795500
"NO";35;9;420;"Princeton";35;"F";0;0;0;42;51857.000000;"U";4;16;"24";4;1;4;7;11;45;13.796000
"NO";33;6;154;"Queensbury";33;"M";0;0;0;48;51901.000000;"M";4;39;"48";3;2;3;2;24;26;8.448950
"NO";33;0;0;"Kingsville";33;"F";0;0;0;50;51883.000000;"S";4;23;"36";3;0;0;0;11;38;0.000000
"NO";38;9;0;"Foxton";38;"M";0;0;0;36;51911.000000;"U";5;15;"24";5;0;0;0;10;52;0.000000
"NO";53;25;0;"Queensbury";53;"M";0;0;0;55;51929.000000;"S";2;30;"36";2;0;0;0;9;35;0.000000
"NO";38;6;0;"Kingsville";38;"M";0;0;0;59;51868.000000;"U";2;31;"36";1;0;0;0;13;27;0.000000
"NO";47;14;93;"Kingsville";47;"M";0;0;0;44;51852.000000;"S";5;25;"36";4;0;2;1;11;44;7.855670
"NO";50;23;0;"Kingsville";50;"F";0;0;0;53;51915.000000;"U";6;20;"24";2;0;0;0;15;31;0.000000
"NO";34;3;0;"Kingsville";34;"F";0;0;0;51;51946.000000;"M";2;40;"48";3;0;0;0;8;40;0.000000
"NO";52;23;0;"Princeton";52;"F";0;0;0;62;51890.000000;"S";2;26;"36";1;0;0;0;11;26;0.000000
"NO";45;18;0;"Foxton";45;"M";0;0;0;31;51913.000000;"S";5;14;"24";6;0;0;0;22;45;0.000000
"NO";52;23;0;"Princeton";52;"M";0;0;0;30;51924.000000;"S";6;-3;"0";6;2;0;0;9;59;0.000000
"NO";42;10;0;"Catburg";42;"F";0;0;0;59;51934.000000;"U";3;33;"36";1;2;0;0;8;31;0.000000
"SI";52;24;56;"Princeton";52;"M";0;0;0;55;51923.000000;"U";5;25;"36";2;1;3;2;5;39;9.649940
"NO";59;31;92;"Kingsville";59;"M";0;0;0;64;51914.000000;"M";4;31;"36";1;4;3;3;7;28;12.189000
"NO";20;0;0;"Foxton";20;"M";0;0;0;51;51929.000000;"S";4;34;"36";3;0;0;0;14;34;0.000000
"NO";44;16;93;"Kingsville";44;"M";0;0;0;53;51863.000000;"M";3;27;"36";2;3;2;1;11;34;7.422330
"NO";45;17;0;"Ravensville";45;"F";0;0;0;68;51936.000000;"M";7;-2;"0";0;2;2;0;14;16;0.000000
"NO";32;4;0;"Ravensville";32;"M";0;0;0;67;51894.000000;"S";3;35;"36";0;0;0;0;8;24;0.000000
"NO";30;0;127;"Ravensville";30;"F";0;0;0;52;51934.000000;"S";7;37;"48";3;1;4;1;11;35;13.219000
"NO";42;13;140;"Ravensville";42;"F";0;0;0;20;51912.000000;"S";7;36;"48";8;0;3;2;13;65;11.967300
"NO";49;22;40;"Foxton";49;"F";0;0;0;53;51886.000000;"M";4;33;"36";3;0;3;1;10;35;11.839900
"SI";48;18;621;"Foxton";48;"M";0;0;1;46;51864.000000;"M";4;24;"36";4;1;4;27;12;40;34.129501
"NO";37;8;0;"Princeton";37;"M";0;0;0;50;51919.000000;"U";2;37;"48";3;0;0;0;18;30;0.000000
"NO";39;8;0;"Queensbury";39;"F";0;0;0;53;51949.000000;"U";3;17;"24";2;0;0;0;4;41;0.000000
"NO";60;34;0;"Kingsville";60;"F";0;0;0;47;51933.000000;"S";2;13;"24";4;0;0;0;23;29;0.000000
"NO";32;2;0;"Foxton";32;"M";0;0;0;55;51949.000000;"S";3;36;"48";2;0;0;0;22;22;0.000000
"NO";33;7;132;"Ravensville";33;"F";0;0;0;48;51883.000000;"M";4;37;"48";3;1;5;3;14;37;9.521940
"NO";52;25;0;"Ravensville";52;"M";0;0;0;62;51879.000000;"U";3;36;"48";1;0;0;0;7;29;0.000000
"NO";50;23;0;"Princeton";50;"F";0;0;0;21;51902.000000;"U";1;11;"24";8;2;0;0;27;50;0.000000
"NO";53;25;0;"Queensbury";53;"F";0;0;0;58;51889.000000;"M";1;33;"36";2;2;0;0;9;32;0.000000
"NO";26;0;0;"Princeton";26;"M";0;0;0;42;51894.000000;"S";4;12;"24";4;1;0;0;14;42;0.000000
"NO";41;14;0;"Kingsville";41;"F";0;0;0;62;51929.000000;"M";4;-1;"0";1;0;1;0;9;27;0.000000
"NO";27;0;0;"Catburg";27;"M";0;0;0;62;51929.000000;"S";4;-6;"0";1;0;0;0;9;27;0.000000
"NO";45;16;148;"Foxton";45;"M";0;0;0;43;51888.000000;"S";6;7;"12";4;0;3;2;9;46;8.414670
"NO";30;0;0;"Foxton";30;"F";0;0;0;62;51886.000000;"S";3;-6;"0";1;3;0;0;10;26;0.000000
"NO";42;10;0;"Queensbury";42;"F";0;0;0;58;51921.000000;"M";6;40;"48";2;2;0;0;8;33;0.000000
"NO";46;20;100;"Catburg";46;"M";0;0;0;72;51891.000000;"S";6;17;"24";0;0;2;1;11;15;8.765670
"NO";47;17;81;"Princeton";47;"M";0;0;0;51;51934.000000;"U";6;38;"48";3;0;5;3;20;28;9.780980
"NO";36;7;0;"Princeton";36;"M";0;0;0;51;51934.000000;"M";6;39;"48";3;2;0;0;20;28;0.000000
"NO";31;0;0;"Queensbury";31;"M";0;0;0;56;51871.000000;"S";5;31;"36";2;0;0;0;9;34;0.000000
"NO";22;0;134;"Ravensville";22;"M";0;0;0;59;51946.000000;"S";2;14;"24";1;0;5;2;10;29;10.700700
"SI";32;2;91;"Queensbury";32;"M";0;0;0;35;51862.000000;"M";5;41;"48";5;1;3;2;14;49;10.122300
"NO";22;0;76;"Queensbury";22;"M";0;0;0;50;51893.000000;"S";3;28;"36";3;1;1;1;9;40;11.635700
"NO";48;19;0;"Ravensville";48;"F";0;0;0;43;51869.000000;"U";6;18;"24";4;0;0;0;6;49;0.000000
"NO";40;11;0;"Ravensville";40;"F";0;0;0;41;51851.000000;"S";4;5;"12";5;1;0;0;11;46;0.000000
"NO";46;15;0;"Queensbury";46;"F";0;0;0;53;51915.000000;"M";5;-6;"0";3;1;0;0;10;35;0.000000
"NO";50;20;0;"Foxton";50;"M";0;0;0;50;51907.000000;"M";6;5;"12";3;0;0;0;9;39;0.000000
"NO";22;0;0;"Kingsville";22;"F";0;0;0;71;51944.000000;"S";6;18;"24";0;2;0;0;11;16;0.000000
"NO";74;44;0;"Catburg";74;"M";0;0;0;60;51923.000000;"M";4;23;"24";1;1;0;0;5;34;0.000000
"NO";39;12;100;"Foxton";39;"M";0;0;0;45;51927.000000;"U";4;37;"48";4;1;3;1;15;39;12.833300
"NO";32;0;275;"Foxton";32;"F";0;0;0;47;51948.000000;"S";3;21;"24";3;0;1;1;11;40;8.802330
"NO";40;8;0;"Kingsville";40;"F";0;0;0;68;51896.000000;"U";2;36;"48";0;0;0;0;10;21;0.000000
"NO";41;12;133;"Catburg";41;"F";0;0;0;77;51921.000000;"M";4;6;"12";1;1;4;2;4;18;10.184700
"NO";41;14;377;"Queensbury";41;"F";0;0;0;77;51921.000000;"S";4;30;"36";1;0;2;1;4;18;9.939000
"NO";44;16;0;"Catburg";44;"F";0;0;0;57;51879.000000;"M";6;39;"48";2;3;0;0;4;37;0.000000
"NO";37;10;0;"Ravensville";37;"M";0;0;0;59;51861.000000;"U";2;7;"12";2;1;0;0;10;29;0.000000
"NO";52;18;279;"Foxton";52;"F";0;0;0;54;51866.000000;"M";3;19;"24";2;0;6;3;9;36;12.039600
"NO";44;18;266;"Queensbury";44;"M";0;0;0;63;51919.000000;"U";6;14;"24";1;0;2;1;11;25;7.872330
"NO";49;20;0;"Queensbury";49;"M";0;0;0;58;51923.000000;"U";6;29;"36";2;1;0;0;13;27;0.000000
"NO";42;12;0;"Queensbury";42;"F";0;0;0;61;51932.000000;"S";4;-2;"0";1;1;0;0;10;27;0.000000
"NO";21;0;0;"Kingsville";21;"F";0;0;0;61;51894.000000;"S";7;9;"12";1;0;0;0;1;36;0.000000
"NO";29;1;0;"Ravensville";29;"F";0;0;0;48;51919.000000;"M";4;-2;"0";3;4;0;0;9;41;0.000000
"NO";20;0;0;"Foxton";20;"M";0;0;0;58;51855.000000;"S";5;35;"48";1;1;0;0;10;30;0.000000
"NO";29;0;133;"Kingsville";29;"M";0;0;0;59;51882.000000;"S";5;7;"12";1;0;4;2;9;31;10.333000
"SI";33;6;235;"Ravensville";33;"F";0;0;0;45;51872.000000;"S";3;28;"36";4;0;2;1;13;41;8.419000
"NO";41;10;0;"Kingsville";41;"M";0;0;0;30;51955.000000;"S";4;11;"12";6;0;0;0;12;57;0.000000
"NO";34;7;0;"Princeton";34;"M";0;0;0;60;51984.000000;"U";6;-2;"0";1;2;2;0;7;31;0.000000
"NO";25;0;274;"Princeton";25;"F";0;0;0;55;51957.000000;"S";5;18;"24";2;1;5;2;15;29;12.410700
"NO";31;1;0;"Queensbury";31;"F";0;0;0;50;51983.000000;"M";7;-5;"0";3;2;0;0;11;38;0.000000
"NO";32;3;0;"Princeton";32;"M";0;0;0;60;52043.000000;"S";3;30;"36";1;0;0;0;12;26;0.000000
"SI";34;1;170;"Princeton";34;"F";0;0;0;48;51999.000000;"S";6;23;"36";3;0;2;1;12;38;8.115670
"NO";28;0;0;"Foxton";28;"F";0;0;0;60;52018.000000;"S";4;13;"24";1;1;0;0;11;28;0.000000
"NO";44;14;0;"Foxton";44;"M";0;0;0;47;52013.000000;"U";3;16;"24";3;0;0;0;12;40;0.000000
"NO";16;0;0;"Kingsville";16;"F";0;0;0;52;51974.000000;"S";3;-1;"0";3;0;0;0;11;36;0.000000
"NO";59;27;0;"Catburg";59;"F";0;1;0;41;52030.000000;"M";2;24;"36";4;1;0;0;10;47;0.000000
"NO";37;6;15;"Princeton";37;"M";0;0;0;68;51976.000000;"S";3;39;"48";0;0;1;1;7;24;8.546320
"NO";27;0;0;"Ravensville";27;"M";0;0;0;50;51984.000000;"S";6;40;"48";3;1;0;0;7;42;0.000000
"NO";36;8;0;"Kingsville";36;"F";0;0;0;68;51956.000000;"U";7;30;"36";0;0;0;0;4;26;0.000000
"NO";29;1;0;"Princeton";29;"M";0;0;0;23;52032.000000;"S";4;-2;"0";8;0;1;0;12;63;0.000000
"NO";39;6;365;"Ravensville";39;"M";0;0;0;55;51991.000000;"S";4;10;"12";2;0;4;3;11;33;10.531100
"NO";40;16;401;"Ravensville";40;"M";0;0;0;71;52028.000000;"S";7;23;"36";0;0;2;2;9;18;8.873990
"NO";28;0;0;"Princeton";28;"M";0;0;0;64;51984.000000;"S";7;9;"12";1;3;0;0;14;21;0.000000
"NO";36;9;0;"Ravensville";36;"F";0;0;0;46;51955.000000;"U";5;23;"24";4;0;0;0;13;40;0.000000
"NO";40;12;0;"Princeton";40;"M";0;0;0;55;51985.000000;"S";2;-2;"0";2;0;1;0;6;38;0.000000
"NO";42;15;0;"Kingsville";42;"F";0;0;0;72;52137.000000;"S";7;5;"12";0;3;0;0;8;18;0.000000
"NO";14;0;0;"Catburg";14;"F";0;0;0;56;52202.000000;"S";7;-4;"0";2;2;0;0;13;29;0.000000
"NO";35;8;0;"Ravensville";35;"F";0;0;0;61;52170.000000;"M";3;-4;"0";1;0;0;0;15;22;0.000000
"NO";50;18;0;"Ravensville";50;"M";0;0;0;59;52227.000000;"M";5;-5;"0";2;1;0;0;10;30;0.000000
"NO";56;28;0;"Ravensville";56;"M";0;0;0;45;52190.000000;"U";3;9;"12";4;0;0;0;7;47;0.000000
"NO";52;25;0;"Queensbury";52;"M";0;0;0;39;52170.000000;"M";3;16;"24";5;2;0;0;17;43;0.000000
"NO";55;21;0;"Foxton";55;"F";0;0;0;63;52185.000000;"U";3;-3;"0";1;0;0;0;9;27;0.000000
"NO";46;12;731;"Ravensville";46;"M";0;0;0;52;52192.000000;"S";2;11;"12";3;0;4;10;10;36;17.719101
"NO";50;21;103;"Princeton";50;"M";0;0;1;63;52181.000000;"U";4;5;"12";1;3;6;3;12;24;11.528300
"NO";40;11;0;"Princeton";40;"M";0;0;0;44;52222.000000;"M";2;10;"12";4;1;0;0;16;39;0.000000
"NO";33;6;0;"Princeton";33;"M";0;0;0;48;52215.000000;"U";6;11;"24";3;1;0;0;12;38;0.000000
"NO";42;12;0;"Princeton";42;"M";0;0;0;65;52213.000000;"U";3;35;"36";1;4;0;0;12;22;0.000000
"NO";40;12;0;"Foxton";40;"M";0;0;0;55;52196.000000;"M";3;-2;"0";2;0;5;0;10;34;0.000000
"NO";50;27;98;"Ravensville";50;"F";0;0;0;56;52180.000000;"S";2;37;"48";2;1;1;1;9;33;12.289000
"NO";38;6;280;"Foxton";38;"M";0;0;0;43;52232.000000;"M";3;14;"24";4;1;3;1;16;39;8.059000
"NO";45;18;169;"Princeton";45;"M";0;0;0;65;52194.000000;"S";5;25;"36";0;0;3;2;5;29;9.848000
"NO";58;29;0;"Princeton";58;"F";0;0;0;43;52181.000000;"S";6;5;"12";4;0;0;0;16;39;0.000000
"NO";34;4;0;"Foxton";34;"F";0;0;0;43;52181.000000;"M";7;26;"36";4;1;0;0;16;39;0.000000
"NO";38;13;0;"Ravensville";38;"F";0;0;0;59;52246.000000;"M";3;-5;"0";2;2;1;0;13;27;0.000000
"NO";50;21;0;"Catburg";50;"F";0;0;0;64;52236.000000;"S";1;-2;"0";1;0;1;0;9;26;0.000000
"NO";78;44;0;"Queensbury";78;"F";0;1;0;68;52222.000000;"M";5;29;"36";0;1;0;0;13;17;0.000000
"NO";30;4;0;"Princeton";30;"M";0;0;0;60;52221.000000;"M";6;-4;"0";1;3;0;0;9;30;0.000000
"NO";29;2;0;"Queensbury";29;"M";0;0;0;44;52184.000000;"M";3;16;"24";4;0;0;0;19;35;0.000000
"NO";59;26;0;"Kingsville";59;"M";0;0;0;61;52175.000000;"M";5;8;"12";1;1;0;0;9;29;0.000000
"NO";38;7;415;"Queensbury";38;"M";0;0;0;53;52243.000000;"M";4;34;"36";2;1;3;2;8;37;8.730660
"NO";37;3;0;"Kingsville";37;"F";0;0;0;58;52247.000000;"S";7;10;"12";2;1;0;0;8;33;0.000000
"NO";60;34;118;"Catburg";60;"M";0;0;0;60;52247.000000;"U";1;17;"24";1;1;3;2;13;25;11.318000
"NO";48;17;677;"Kingsville";48;"F";0;0;0;67;52234.000000;"U";4;12;"24";0;0;6;13;11;21;20.737200
"NO";36;10;0;"Foxton";36;"M";0;0;0;55;52224.000000;"U";7;-1;"0";2;2;0;0;8;35;0.000000
"NO";40;10;0;"Catburg";40;"F";0;0;0;67;52171.000000;"M";2;-1;"0";0;0;0;0;14;18;0.000000
"NO";44;13;0;"Kingsville";44;"F";0;0;0;51;52250.000000;"S";5;-4;"0";3;2;1;0;5;43;0.000000
"SI";53;26;452;"Foxton";53;"M";0;0;0;37;52245.000000;"S";1;5;"12";5;3;2;23;16;45;29.777399
"NO";48;15;0;"Foxton";48;"F";0;0;0;63;52155.000000;"S";4;41;"48";1;0;0;0;9;27;0.000000
"NO";42;16;0;"Kingsville";42;"M";0;0;0;60;52245.000000;"M";7;8;"12";1;0;0;0;15;23;0.000000
"NO";41;7;565;"Princeton";41;"F";0;1;0;48;52282.000000;"U";3;40;"48";3;2;1;15;9;41;21.960699
"NO";23;0;0;"Queensbury";23;"F";0;0;0;48;52282.000000;"S";3;20;"24";3;1;0;0;9;41;0.000000
"NO";35;4;603;"Foxton";35;"F";0;0;0;46;52292.000000;"U";5;27;"36";3;0;3;18;8;44;24.835600
"NO";72;43;0;"Catburg";72;"M";0;0;0;27;52302.000000;"S";6;18;"24";7;0;0;0;13;58;0.000000
"NO";45;15;0;"Kingsville";45;"F";0;0;0;51;52280.000000;"M";5;29;"36";3;3;0;0;8;40;0.000000
"SI";40;12;108;"Queensbury";40;"F";0;0;0;49;52340.000000;"S";5;8;"12";3;0;2;2;11;39;12.399000
"NO";31;1;87;"Ravensville";31;"F";0;0;0;28;52327.000000;"S";2;35;"48";7;1;1;1;17;54;9.845670
"NO";27;0;0;"Princeton";27;"F";0;0;0;58;52301.000000;"S";7;-4;"0";2;1;0;0;12;29;0.000000
"SI";45;15;645;"Queensbury";45;"M";0;0;0;58;52316.000000;"S";6;21;"24";2;0;0;15;8;33;22.790899
"NO";32;3;0;"Catburg";32;"M";0;0;0;54;52326.000000;"S";7;6;"12";2;0;0;0;15;30;0.000000
"NO";65;37;0;"Princeton";65;"F";0;0;0;50;52311.000000;"U";1;-6;"0";3;4;0;0;18;30;0.000000
"NO";38;5;0;"Ravensville";38;"F";0;0;0;56;52255.000000;"U";3;35;"48";2;1;0;0;10;32;0.000000
"NO";37;7;0;"Ravensville";37;"F";0;0;0;55;52259.000000;"M";6;-7;"0";2;0;0;0;16;27;0.000000
"NO";37;12;0;"Catburg";37;"F";0;0;0;58;52259.000000;"U";3;15;"24";2;1;0;0;9;32;0.000000
"NO";63;33;178;"Kingsville";63;"M";0;0;0;55;52292.000000;"S";3;35;"36";2;0;4;2;10;33;10.278000
"NO";36;6;246;"Ravensville";36;"M";0;0;0;56;52341.000000;"M";2;11;"24";2;1;2;1;10;33;10.319000
"NO";55;25;1043;"Princeton";55;"M";0;0;0;51;52252.000000;"U";5;20;"24";2;0;0;14;10;37;21.297501
"NO";40;15;0;"Princeton";40;"F";0;0;0;65;52351.000000;"S";2;5;"12";1;0;0;0;13;21;0.000000
"NO";36;7;0;"Catburg";36;"M";0;0;0;62;52378.000000;"M";4;20;"24";1;2;0;0;17;20;0.000000
"NO";43;12;0;"Foxton";43;"M";0;0;0;48;52382.000000;"S";6;14;"24";3;0;0;0;16;34;0.000000
"NO";29;0;0;"Foxton";29;"F";0;0;0;65;52365.000000;"S";4;20;"24";0;0;0;0;9;25;0.000000
"NO";49;19;0;"Kingsville";49;"F";0;0;0;64;52435.000000;"S";3;-6;"0";1;0;0;0;12;23;0.000000
