response;branch;gender;gold_card;income;marital;months_current_account;loan_accounts;number_products;number_transactions;white_collar_percentage
"NO";"Ravensville";"F";0;51735.000000;"M";23;2;5;3;32
"NO";"Princeton";"F";0;51702.000000;"M";28;1;0;0;41
"NO";"Queensbury";"M";0;51747.000000;"M";25;1;0;0;37
"NO";"Kingsville";"M";0;51736.000000;"M";7;3;0;0;35
"NO";"Princeton";"F";0;51693.000000;"U";7;0;6;17;38
"NO";"Ravensville";"M";1;51729.000000;"S";40;3;3;2;19
"NO";"Kingsville";"M";0;51706.000000;"M";31;1;3;3;26
"NO";"Queensbury";"F";0;51706.000000;"M";18;1;0;0;26
"NO";"Foxton";"F";0;51733.000000;"S";38;1;0;0;42
"NO";"Foxton";"M";0;51733.000000;"U";39;0;0;0;42
"NO";"Catburg";"F";0;51664.000000;"S";-4;0;0;0;33
"NO";"Foxton";"F";0;51678.000000;"S";-3;0;0;0;19
"NO";"Ravensville";"M";0;51704.000000;"S";25;1;0;0;38
"NO";"Queensbury";"M";0;51729.000000;"S";18;1;0;0;41
"NO";"Queensbury";"M";0;51689.000000;"U";16;0;0;0;30
"NO";"Queensbury";"M";0;51691.000000;"S";14;2;0;0;36
"NO";"Kingsville";"M";0;51702.000000;"S";40;0;0;0;34
"NO";"Catburg";"F";1;51694.000000;"S";-5;3;0;0;30
"NO";"Catburg";"M";0;51687.000000;"S";29;0;0;0;31
"NO";"Foxton";"F";0;51698.000000;"U";41;0;3;2;27
"NO";"Foxton";"F";0;51742.000000;"M";15;1;3;1;30
"NO";"Queensbury";"M";0;51677.000000;"M";23;0;5;1;42
"NO";"Catburg";"M";0;51672.000000;"U";6;0;0;0;29
"NO";"Queensbury";"M";0;51654.000000;"S";22;1;0;0;36
"NO";"Catburg";"F";0;51681.000000;"M";18;3;0;0;27
"NO";"Queensbury";"F";0;51676.000000;"U";30;0;5;2;12
"NO";"Catburg";"M";0;51735.000000;"S";24;0;0;0;43
"NO";"Princeton";"F";0;51741.000000;"M";0;7;0;0;36
"SI";"Ravensville";"F";0;51736.000000;"U";10;0;6;3;16
"NO";"Foxton";"F";0;51728.000000;"M";17;2;0;0;31
"NO";"Catburg";"F";0;51721.000000;"S";6;0;0;0;33
"NO";"Queensbury";"F";0;51741.000000;"U";-1;0;0;0;29
"NO";"Ravensville";"F";0;51725.000000;"S";-4;1;0;0;59
"NO";"Ravensville";"M";0;51728.000000;"U";12;0;0;0;11
"NO";"Princeton";"F";0;51677.000000;"S";-2;0;0;0;22
"NO";"Queensbury";"F";0;51734.000000;"U";19;0;3;10;19
"NO";"Catburg";"M";0;51743.000000;"S";21;0;0;0;36
"NO";"Catburg";"M";0;51739.000000;"U";11;0;0;0;35
"NO";"Ravensville";"M";0;51740.000000;"U";37;1;0;0;31
"NO";"Queensbury";"F";0;51708.000000;"U";20;1;0;0;34
"NO";"Ravensville";"F";0;51704.000000;"S";31;0;3;2;49
"NO";"Ravensville";"M";0;51728.000000;"S";19;0;5;2;39
"NO";"Queensbury";"F";1;51733.000000;"M";13;3;3;19;9
"NO";"Princeton";"F";0;51712.000000;"U";-5;0;0;0;27
"SI";"Queensbury";"M";0;51748.000000;"S";33;3;3;2;22
"NO";"Foxton";"M";0;51742.000000;"S";28;1;0;0;27
"NO";"Queensbury";"F";0;51710.000000;"M";41;1;1;1;31
"NO";"Queensbury";"M";0;51664.000000;"S";16;0;3;2;30
"NO";"Queensbury";"F";0;51686.000000;"S";12;0;3;2;37
"NO";"Foxton";"M";0;51678.000000;"S";22;2;5;2;29
"NO";"Queensbury";"F";0;51684.000000;"S";9;0;3;2;39
"NO";"Foxton";"F";0;51675.000000;"S";31;1;4;3;23
"SI";"Catburg";"M";0;51699.000000;"S";16;2;3;2;30
"NO";"Ravensville";"M";0;51685.000000;"S";-6;0;0;0;31
"NO";"Catburg";"M";0;51655.000000;"M";17;2;0;0;32
"NO";"Kingsville";"M";0;51663.000000;"S";-6;0;0;0;33
"SI";"Foxton";"F";0;51659.000000;"S";6;1;3;1;41
"NO";"Ravensville";"F";0;51697.000000;"M";37;2;0;0;39
"NO";"Ravensville";"M";0;51717.000000;"M";6;1;0;0;29
"NO";"Catburg";"F";0;51694.000000;"U";33;1;0;0;34
"NO";"Kingsville";"M";0;51675.000000;"U";23;0;1;1;38
"NO";"Kingsville";"F";0;51655.000000;"S";23;1;0;0;42
"NO";"Foxton";"F";0;51746.000000;"M";26;4;2;10;30
"SI";"Kingsville";"M";0;51666.000000;"U";35;4;4;20;26
"NO";"Catburg";"F";0;51586.000000;"U";39;1;0;0;42
"NO";"Princeton";"M";0;51624.000000;"S";30;0;0;0;28
"NO";"Princeton";"M";1;51551.000000;"U";25;1;0;0;49
"NO";"Foxton";"F";0;51482.000000;"S";-5;4;0;0;35
"NO";"Queensbury";"M";0;51511.000000;"M";19;1;4;3;27
"NO";"Ravensville";"M";0;51542.000000;"U";33;0;4;1;36
"NO";"Queensbury";"F";0;51542.000000;"S";-6;2;2;0;36
"NO";"Catburg";"F";0;51460.000000;"U";26;0;2;1;32
"NO";"Ravensville";"F";0;51525.000000;"U";16;1;0;0;28
"NO";"Foxton";"F";0;51525.000000;"M";5;1;0;0;28
"NO";"Queensbury";"M";0;51470.000000;"U";17;4;4;25;55
"NO";"Ravensville";"F";0;51466.000000;"U";13;0;0;0;24
"NO";"Ravensville";"F";0;51457.000000;"U";8;0;4;1;18
"NO";"Queensbury";"M";0;51513.000000;"U";38;0;0;0;45
"NO";"Princeton";"F";0;51528.000000;"U";23;0;5;19;38
"NO";"Foxton";"F";0;51545.000000;"S";-5;0;0;0;41
"NO";"Queensbury";"F";0;51464.000000;"U";21;1;0;7;44
"NO";"Ravensville";"M";0;51454.000000;"S";-2;0;2;0;35
"NO";"Ravensville";"M";0;51454.000000;"S";-1;5;3;0;35
"NO";"Kingsville";"M";0;51509.000000;"S";14;0;0;0;31
"NO";"Princeton";"F";0;51511.000000;"S";9;0;2;1;35
"NO";"Catburg";"M";0;51469.000000;"S";-4;4;0;0;48
"NO";"Kingsville";"F";0;51536.000000;"M";35;0;4;3;34
"NO";"Foxton";"F";0;51540.000000;"U";18;0;3;1;43
"NO";"Catburg";"F";0;51520.000000;"M";36;3;0;0;15
"NO";"Kingsville";"F";0;51523.000000;"M";26;1;2;1;33
"NO";"Catburg";"F";0;51481.000000;"U";7;3;0;0;28
"NO";"Ravensville";"F";0;51536.000000;"S";-6;1;0;0;37
"NO";"Ravensville";"M";0;51468.000000;"M";32;2;0;0;36
"NO";"Ravensville";"F";0;51524.000000;"S";10;0;0;0;30
"NO";"Foxton";"M";0;51537.000000;"S";37;0;0;0;25
"NO";"Foxton";"F";0;51537.000000;"S";14;0;0;0;25
"NO";"Ravensville";"M";0;51531.000000;"M";10;0;3;1;44
"SI";"Foxton";"M";0;51475.000000;"U";31;2;4;1;30
"NO";"Queensbury";"M";0;51511.000000;"S";28;0;2;2;38
"NO";"Ravensville";"F";0;51478.000000;"U";18;0;3;1;35
"NO";"Catburg";"M";0;51481.000000;"S";37;0;0;0;30
"NO";"Princeton";"F";0;51486.000000;"U";16;0;0;0;38
"NO";"Queensbury";"M";0;51539.000000;"M";27;0;0;0;41
"NO";"Kingsville";"M";0;51523.000000;"M";7;1;0;0;34
"NO";"Kingsville";"F";0;51536.000000;"S";8;0;0;0;8
"NO";"Queensbury";"F";0;51474.000000;"S";17;0;0;0;28
"NO";"Foxton";"F";0;51548.000000;"S";39;1;6;20;35
"NO";"Queensbury";"F";0;51523.000000;"U";31;0;3;1;43
"NO";"Ravensville";"M";0;51467.000000;"U";6;1;0;0;21
"NO";"Queensbury";"F";0;51469.000000;"S";21;1;0;0;29
"NO";"Foxton";"F";0;51506.000000;"U";15;0;4;2;38
"NO";"Foxton";"M";0;51508.000000;"S";27;0;2;2;34
"NO";"Kingsville";"M";0;51496.000000;"S";6;1;0;0;20
"NO";"Queensbury";"M";0;51510.000000;"M";38;2;0;0;33
"NO";"Foxton";"F";0;51496.000000;"U";17;0;0;0;18
"NO";"Princeton";"M";0;51537.000000;"M";17;0;0;0;48
"NO";"Queensbury";"F";0;51537.000000;"U";7;0;0;0;48
"NO";"Catburg";"M";0;51537.000000;"U";-6;2;0;0;48
"NO";"Foxton";"F";0;51469.000000;"S";19;1;3;1;19
"NO";"Princeton";"F";0;51469.000000;"M";38;2;4;2;19
"SI";"Queensbury";"F";0;51487.000000;"M";16;1;2;19;38
"NO";"Queensbury";"F";0;51526.000000;"U";15;4;0;0;35
"NO";"Catburg";"F";0;51518.000000;"U";24;2;0;0;29
"NO";"Catburg";"M";0;51467.000000;"U";19;2;0;0;11
"NO";"Ravensville";"F";0;51485.000000;"S";40;0;0;0;30
"NO";"Ravensville";"F";0;51485.000000;"S";31;5;0;0;30
"SI";"Queensbury";"F";0;51464.000000;"S";29;0;2;1;40
"NO";"Ravensville";"M";0;51547.000000;"S";10;1;0;0;31
"NO";"Queensbury";"M";0;51452.000000;"S";5;0;2;1;32
"NO";"Queensbury";"M";0;51529.000000;"S";34;0;0;0;47
"NO";"Princeton";"M";0;51478.000000;"U";14;0;4;2;33
"NO";"Kingsville";"F";0;51498.000000;"S";5;3;0;12;32
"NO";"Kingsville";"M";0;51550.000000;"S";0;1;1;0;20
"NO";"Princeton";"M";0;51541.000000;"U";31;3;2;1;33
"NO";"Queensbury";"F";0;51537.000000;"U";33;0;0;0;27
"NO";"Queensbury";"F";0;51537.000000;"S";9;2;2;10;27
"NO";"Catburg";"M";0;51481.000000;"M";37;2;0;0;69
"NO";"Kingsville";"F";0;51544.000000;"M";41;4;0;14;27
"NO";"Catburg";"F";0;51509.000000;"S";24;0;0;0;38
"NO";"Princeton";"M";0;51506.000000;"S";11;0;3;1;57
"NO";"Foxton";"M";0;51538.000000;"S";-4;3;1;0;35
"NO";"Kingsville";"F";0;51540.000000;"U";35;0;0;0;46
"NO";"Foxton";"F";0;51506.000000;"S";11;0;4;1;38
"NO";"Queensbury";"F";0;51503.000000;"M";31;0;3;1;24
"NO";"Princeton";"F";0;51537.000000;"S";34;0;5;2;25
"NO";"Foxton";"F";0;51473.000000;"S";21;0;2;1;32
"NO";"Princeton";"F";0;51473.000000;"S";-4;4;0;0;32
"NO";"Princeton";"M";0;51490.000000;"S";17;0;0;0;36
"NO";"Ravensville";"M";0;51490.000000;"S";34;0;0;0;42
"NO";"Catburg";"F";0;51495.000000;"S";7;0;0;0;20
"NO";"Ravensville";"M";0;51541.000000;"S";25;0;0;0;39
"NO";"Catburg";"F";0;51531.000000;"S";18;2;0;0;24
"NO";"Foxton";"F";0;51501.000000;"M";11;3;3;2;29
"SI";"Kingsville";"M";0;51463.000000;"U";37;0;1;14;29
"NO";"Catburg";"M";0;51486.000000;"U";8;0;3;3;28
"NO";"Foxton";"F";0;51522.000000;"U";36;0;4;1;24
"NO";"Queensbury";"F";0;51485.000000;"S";10;0;2;1;19
"NO";"Foxton";"M";0;51485.000000;"S";38;1;0;0;19
"NO";"Queensbury";"M";0;51495.000000;"S";16;0;0;0;30
"NO";"Queensbury";"F";0;51487.000000;"S";26;0;0;0;37
"NO";"Kingsville";"M";0;51484.000000;"S";18;0;3;3;33
"NO";"Queensbury";"M";0;51537.000000;"S";31;0;0;0;40
"SI";"Princeton";"M";0;51471.000000;"U";5;0;1;1;24
"NO";"Foxton";"M";0;51544.000000;"S";-5;5;0;0;48
"NO";"Kingsville";"M";0;51457.000000;"S";18;0;0;0;32
"NO";"Princeton";"M";0;51511.000000;"M";25;0;0;0;27
"NO";"Ravensville";"F";0;51459.000000;"U";39;1;0;2;15
"SI";"Foxton";"F";0;51492.000000;"M";9;0;3;3;22
"NO";"Catburg";"F";0;51492.000000;"M";7;1;5;3;22
"NO";"Princeton";"F";0;51499.000000;"S";16;0;0;0;23
"NO";"Ravensville";"F";0;51484.000000;"M";-6;1;0;0;42
"NO";"Princeton";"M";0;51540.000000;"S";15;0;0;0;34
"NO";"Foxton";"F";0;51467.000000;"S";8;0;4;1;39
"NO";"Queensbury";"F";0;51468.000000;"S";21;1;2;1;15
"NO";"Ravensville";"M";0;51468.000000;"M";30;1;0;0;15
"NO";"Princeton";"M";0;51522.000000;"M";-1;1;1;0;29
"NO";"Princeton";"F";0;51505.000000;"U";-4;1;0;0;70
"NO";"Catburg";"M";0;51459.000000;"S";31;0;2;1;42
"NO";"Princeton";"F";0;51459.000000;"U";-2;0;0;0;42
"NO";"Foxton";"F";0;51474.000000;"U";-2;0;0;0;38
"NO";"Princeton";"M";0;51509.000000;"M";38;2;0;0;46
"NO";"Catburg";"M";0;51391.000000;"U";40;0;0;0;29
"NO";"Catburg";"F";0;51357.000000;"U";5;0;4;2;26
"NO";"Catburg";"M";0;51354.000000;"S";35;1;0;0;35
"NO";"Foxton";"M";0;51368.000000;"U";29;1;0;0;26
"NO";"Ravensville";"F";0;51413.000000;"U";16;1;0;0;9
"NO";"Princeton";"F";0;51385.000000;"U";33;0;0;0;31
"NO";"Catburg";"M";0;51385.000000;"M";26;1;0;0;34
"NO";"Kingsville";"F";0;51396.000000;"M";10;1;3;2;28
"SI";"Foxton";"F";0;51419.000000;"U";32;1;2;2;22
"NO";"Foxton";"M";0;51396.000000;"U";41;4;0;0;20
"SI";"Princeton";"M";1;51396.000000;"M";31;0;2;1;20
"NO";"Princeton";"F";0;51446.000000;"S";6;0;0;0;38
"NO";"Catburg";"F";0;51353.000000;"M";16;3;0;0;44
"NO";"Kingsville";"F";0;51421.000000;"U";37;1;2;1;41
"NO";"Catburg";"M";0;51382.000000;"U";7;2;0;0;25
"NO";"Ravensville";"M";0;51418.000000;"S";21;1;0;0;37
"NO";"Catburg";"F";0;51415.000000;"M";21;0;0;0;32
"NO";"Ravensville";"F";0;51399.000000;"S";18;2;0;0;25
"NO";"Kingsville";"F";0;51409.000000;"S";27;1;2;2;54
"NO";"Kingsville";"F";0;51403.000000;"S";30;4;4;2;28
"NO";"Queensbury";"M";0;51397.000000;"S";7;2;0;0;29
"NO";"Foxton";"M";0;51326.000000;"S";-5;0;0;0;19
"NO";"Foxton";"F";0;51287.000000;"S";-5;0;0;0;27
"NO";"Foxton";"M";0;51340.000000;"M";25;2;0;0;39
"NO";"Ravensville";"F";0;51258.000000;"M";33;1;0;0;25
"NO";"Princeton";"M";0;51312.000000;"S";23;0;3;2;45
"NO";"Queensbury";"F";0;51266.000000;"M";36;1;2;1;40
"NO";"Catburg";"M";0;51338.000000;"S";37;1;4;3;35
"NO";"Queensbury";"F";0;51270.000000;"M";-2;7;1;0;26
"NO";"Ravensville";"F";0;51271.000000;"S";11;0;0;0;44
"NO";"Catburg";"F";0;51271.000000;"M";25;1;0;0;44
"NO";"Kingsville";"M";0;51350.000000;"U";24;1;0;9;36
"NO";"Catburg";"M";0;51268.000000;"M";20;3;0;0;33
"NO";"Kingsville";"M";0;51331.000000;"S";7;0;1;1;26
"NO";"Kingsville";"M";0;51294.000000;"M";33;0;3;2;37
"NO";"Ravensville";"F";0;51260.000000;"M";28;1;0;14;28
"NO";"Princeton";"M";0;51277.000000;"M";7;0;0;0;25
"NO";"Ravensville";"F";0;51327.000000;"S";-1;0;2;0;41
"SI";"Catburg";"F";0;51264.000000;"S";25;2;3;1;32
"NO";"Ravensville";"M";0;51253.000000;"U";28;0;0;0;23
"NO";"Queensbury";"F";0;51338.000000;"U";10;0;0;0;20
"NO";"Foxton";"M";0;51335.000000;"M";17;1;0;0;21
"NO";"Princeton";"F";0;51263.000000;"S";24;1;0;0;19
"NO";"Kingsville";"M";0;51264.000000;"M";-1;3;0;0;41
"NO";"Ravensville";"M";0;51343.000000;"S";15;0;3;2;43
"NO";"Kingsville";"F";0;51289.000000;"U";21;1;0;0;23
"NO";"Kingsville";"F";0;51264.000000;"S";-4;0;1;0;49
"SI";"Foxton";"F";0;51333.000000;"S";13;0;2;1;42
"SI";"Kingsville";"F";0;51338.000000;"S";27;0;0;3;39
"NO";"Ravensville";"M";0;51340.000000;"M";20;2;0;0;25
"NO";"Kingsville";"M";0;51340.000000;"U";20;1;0;0;25
"NO";"Kingsville";"F";0;51253.000000;"S";40;0;0;0;36
"NO";"Foxton";"M";0;51298.000000;"M";18;1;0;0;32
"NO";"Queensbury";"F";0;51303.000000;"U";23;2;0;0;36
"NO";"Foxton";"F";0;51293.000000;"M";5;2;1;1;20
"NO";"Queensbury";"M";0;51272.000000;"M";12;2;0;0;20
"NO";"Princeton";"F";0;51338.000000;"U";12;1;0;0;26
"NO";"Kingsville";"M";0;51257.000000;"U";24;4;0;0;41
"NO";"Catburg";"F";0;51329.000000;"S";34;2;0;0;35
"NO";"Queensbury";"M";0;51329.000000;"S";35;0;0;14;35
"NO";"Catburg";"M";0;51291.000000;"S";11;0;0;0;30
"SI";"Princeton";"F";0;51335.000000;"U";17;0;2;1;28
"NO";"Kingsville";"M";0;51348.000000;"M";11;0;0;0;58
"NO";"Ravensville";"F";0;51292.000000;"U";17;0;0;0;27
"NO";"Foxton";"M";0;51291.000000;"U";7;1;5;3;35
"NO";"Foxton";"F";0;51344.000000;"M";-6;0;0;0;24
"NO";"Catburg";"F";0;51270.000000;"U";13;0;0;0;50
"NO";"Ravensville";"F";0;51304.000000;"M";38;2;1;3;29
"NO";"Princeton";"M";0;51340.000000;"M";41;3;0;0;30
"NO";"Ravensville";"M";0;51288.000000;"S";33;4;6;3;27
"NO";"Catburg";"M";0;51307.000000;"U";32;0;2;1;39
"NO";"Ravensville";"F";0;51330.000000;"S";-4;1;1;0;30
"NO";"Queensbury";"F";0;51270.000000;"M";14;1;0;0;20
"SI";"Queensbury";"M";0;51299.000000;"S";5;0;2;2;26
"NO";"Kingsville";"F";0;51299.000000;"S";-2;2;0;0;26
"NO";"Catburg";"F";0;51322.000000;"M";6;5;0;0;43
"NO";"Foxton";"M";0;51267.000000;"M";-1;3;2;0;26
"NO";"Ravensville";"M";0;51293.000000;"U";39;0;4;2;34
"NO";"Queensbury";"M";0;51334.000000;"S";-2;0;1;0;28
"NO";"Kingsville";"M";0;51336.000000;"S";37;1;0;0;25
"NO";"Catburg";"M";0;51332.000000;"U";20;4;0;0;41
"NO";"Queensbury";"F";0;51273.000000;"S";33;0;0;0;46
"NO";"Foxton";"F";0;51304.000000;"S";15;0;0;0;34
"NO";"Catburg";"M";0;51304.000000;"U";40;1;0;0;20
"NO";"Princeton";"F";0;51273.000000;"S";21;0;2;1;37
"NO";"Ravensville";"F";0;51332.000000;"U";23;0;0;0;35
"NO";"Princeton";"F";0;51283.000000;"M";20;1;2;2;34
"NO";"Catburg";"F";0;51253.000000;"S";-1;0;0;0;35
"SI";"Ravensville";"F";0;51316.000000;"S";40;0;4;28;34
"NO";"Queensbury";"F";0;51339.000000;"S";0;2;0;0;40
"SI";"Princeton";"M";0;51310.000000;"U";7;0;4;24;31
"NO";"Queensbury";"M";0;51334.000000;"U";26;1;3;2;35
"NO";"Queensbury";"M";0;51339.000000;"S";18;0;5;3;37
"NO";"Princeton";"M";0;51294.000000;"S";38;2;0;0;23
"NO";"Queensbury";"F";0;51321.000000;"M";23;0;3;2;37
"NO";"Kingsville";"M";0;51290.000000;"M";9;1;2;1;32
"NO";"Queensbury";"F";0;51319.000000;"S";38;0;0;0;25
"NO";"Kingsville";"F";0;51345.000000;"U";14;0;4;2;33
"NO";"Queensbury";"F";0;51321.000000;"S";20;0;2;2;18
"NO";"Foxton";"M";0;51296.000000;"M";40;0;0;0;27
"NO";"Queensbury";"M";0;51332.000000;"S";37;1;0;0;44
"NO";"Foxton";"F";0;51272.000000;"S";31;1;6;3;44
"NO";"Queensbury";"M";0;51333.000000;"S";40;2;0;0;33
"NO";"Queensbury";"F";0;51263.000000;"S";-4;0;0;0;32
"NO";"Princeton";"M";0;51270.000000;"S";13;0;3;2;17
"NO";"Queensbury";"F";0;51259.000000;"S";16;1;0;0;52
"NO";"Foxton";"M";0;51304.000000;"M";11;3;4;2;54
"NO";"Kingsville";"F";0;51330.000000;"M";-6;0;0;0;32
"NO";"Catburg";"F";0;51316.000000;"M";32;7;0;0;34
"NO";"Princeton";"F";0;51309.000000;"S";-4;2;0;0;36
"NO";"Catburg";"F";1;51296.000000;"S";39;0;2;2;49
"NO";"Kingsville";"M";0;51268.000000;"U";14;0;0;0;29
"NO";"Ravensville";"M";0;51270.000000;"S";14;0;0;0;21
"NO";"Ravensville";"F";0;51298.000000;"M";-4;7;0;0;28
"NO";"Catburg";"M";0;51263.000000;"U";-1;3;1;0;29
"NO";"Foxton";"F";0;51263.000000;"U";-3;3;1;0;29
"NO";"Princeton";"M";0;51183.000000;"S";7;0;1;1;30
"NO";"Catburg";"M";0;51238.000000;"M";6;0;0;0;50
"NO";"Foxton";"F";0;51168.000000;"S";7;0;0;0;42
"NO";"Queensbury";"M";0;51179.000000;"S";15;2;0;0;32
"NO";"Ravensville";"F";0;51244.000000;"S";6;0;0;0;34
"NO";"Queensbury";"M";0;51175.000000;"S";-2;0;0;0;35
"NO";"Ravensville";"F";0;51139.000000;"M";9;1;0;0;31
"NO";"Princeton";"F";0;51107.000000;"S";16;0;3;1;41
"NO";"Foxton";"F";0;51070.000000;"M";23;1;0;0;36
"NO";"Princeton";"M";0;51119.000000;"S";23;1;0;0;14
"NO";"Catburg";"M";0;51072.000000;"U";0;1;0;0;35
"NO";"Ravensville";"F";0;51132.000000;"U";16;0;0;0;19
"NO";"Princeton";"F";0;51111.000000;"U";10;0;1;1;28
"NO";"Ravensville";"M";0;51141.000000;"S";36;1;0;0;38
"NO";"Foxton";"F";0;51100.000000;"U";20;2;0;0;35
"NO";"Kingsville";"M";0;51052.000000;"U";22;1;0;0;34
"NO";"Foxton";"M";0;51103.000000;"M";25;1;2;1;26
"NO";"Catburg";"M";0;51082.000000;"S";-6;2;0;0;27
"NO";"Catburg";"M";0;51097.000000;"M";16;1;2;1;43
"NO";"Kingsville";"M";0;51125.000000;"M";10;0;0;0;35
"NO";"Princeton";"F";0;51070.000000;"M";38;1;0;0;52
"NO";"Kingsville";"F";0;51116.000000;"U";33;0;5;3;39
"NO";"Queensbury";"F";0;51125.000000;"U";14;0;0;0;45
"NO";"Kingsville";"M";0;51149.000000;"U";11;2;5;3;25
"NO";"Kingsville";"F";0;51096.000000;"U";10;0;2;1;22
"SI";"Foxton";"M";0;51080.000000;"S";27;0;4;2;34
"NO";"Kingsville";"M";0;51097.000000;"M";24;2;0;0;25
"NO";"Ravensville";"M";0;51113.000000;"S";28;0;2;2;38
"NO";"Foxton";"F";0;51113.000000;"U";26;2;0;0;38
"NO";"Princeton";"M";0;51144.000000;"S";37;0;2;1;24
"NO";"Foxton";"F";0;51128.000000;"S";23;0;0;0;33
"NO";"Princeton";"M";0;51072.000000;"S";19;0;0;0;25
"NO";"Princeton";"F";0;51054.000000;"M";7;2;0;0;45
"NO";"Catburg";"F";0;51058.000000;"U";30;0;2;1;56
"NO";"Foxton";"F";0;51081.000000;"M";29;1;0;0;33
"NO";"Foxton";"M";0;51083.000000;"U";10;1;0;0;32
"SI";"Princeton";"M";0;51091.000000;"M";41;1;2;1;40
"NO";"Catburg";"F";0;51149.000000;"S";25;1;0;0;31
"NO";"Queensbury";"F";0;51118.000000;"U";28;0;0;0;48
"NO";"Ravensville";"F";0;51140.000000;"U";37;0;0;0;31
"NO";"Princeton";"F";0;51130.000000;"U";26;1;0;0;33
"NO";"Catburg";"F";0;51140.000000;"S";22;0;2;18;24
"NO";"Foxton";"F";0;51103.000000;"S";17;3;3;2;34
"NO";"Foxton";"F";0;51077.000000;"S";13;1;0;0;56
"NO";"Kingsville";"F";0;51116.000000;"U";10;0;0;0;30
"NO";"Princeton";"F";0;51092.000000;"M";30;1;0;0;46
"NO";"Princeton";"F";1;51129.000000;"U";-5;3;0;0;17
"SI";"Foxton";"F";0;51029.000000;"S";18;4;1;22;35
"NO";"Princeton";"M";0;51044.000000;"S";7;1;0;0;53
"NO";"Queensbury";"M";0;51044.000000;"S";36;0;0;0;53
"SI";"Kingsville";"F";0;50996.000000;"U";35;0;3;10;32
